,車,版本,價格,動力來源,特色,網址,照片網址
0,2022 Aston Martin DB11,4.0 V8,1038,汽油,2門 2+2人座 | 3982cc | 510hp@6000rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-db11-2022-4.0-v8,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/9XHQlMLdyeK2Z26RPWvp.jpg
1,2022 Aston Martin DB11 Volante,4.0 V8,1138,汽油,2門 2+2人座 | 3982cc | 510hp@6000rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-db11-volante-2022-4.0-v8,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/H0XK7yKOjFRjzaz8beaT.jpeg
2,2022 Aston Martin DBS,Superleggera 5.2 V12,1680,汽油,2門 2+2人座 | 5204cc | 725hp@6500rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-dbs-2022-superleggera-5.2-v12,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/I7OMGa6Btu9r9T7BTdsr.jpeg
3,2022 Aston Martin DBS Volante,Superleggera 5.2 V12,1848,汽油,2門 2+2人座 | 5204cc | 725hp@6500rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-dbs-volante-2022-superleggera-5.2-v12,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/0YSdUEUEDUUzi2XxjpVD.jpeg
4,2022 Aston Martin DBX,4.0 V8,1018,汽油,5門 5人座 | 3982cc | 550hp@6500rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-dbx-2022-4.0-v8,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/vq2XBd1K9qwk6TRyHGu7.jpeg
5,2022 Aston Martin DBX,707,1438,汽油,5門 5人座 | 3982cc | 707hp@6000rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-dbx-2022-707,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/vq2XBd1K9qwk6TRyHGu7.jpeg
6,2022 Aston Martin Vantage,5.2 V12,售價未公布,汽油,2門 2人座 | 5204cc | 700hp@6500rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-vantage-2022-5.2-v12,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/uj0U3NPga4dncbJsLRLW.jpg
7,2022 Aston Martin Vantage,4.0 V8,880,汽油,2門 2人座 | 3982cc | 510hp@6000rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-vantage-2022-4.0-v8,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/uj0U3NPga4dncbJsLRLW.jpg
8,2022 Aston Martin Vantage,4.0 V8 F1 Edition,1088,汽油,2門 2人座 | 3982cc | 535hp@6000rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-vantage-2022-4.0-v8-f1-edition,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/uj0U3NPga4dncbJsLRLW.jpg
9,2022 Aston Martin Vantage Roadster,4.0 V8,880,汽油,2門 2人座 | 3982cc | 510hp@6000rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-vantage-roadster-2022-4.0-v8,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/gSZ9quMxRaCbOYvItn1A.jpeg
10,2022 Aston Martin Vantage Roadster,4.0 V8 F1 Edition,1168,汽油,2門 2人座 | 3982cc | 535hp@6000rpm,https://autos.yahoo.com.tw/new-cars/trim/aston-martin-vantage-roadster-2022-4.0-v8-f1-edition,https://autos.yahoo.com.tw/p/r/w880/car-models/February2022/gSZ9quMxRaCbOYvItn1A.jpeg
11,2022 Audi A1 Sportback,30 TFSI享馭版,124,汽油,5門 5人座 | 999cc | 110hp@5500rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a1-sportback-2022-30-tfsi%E4%BA%AB%E9%A6%AD%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/8fiSBcBSkeJzFVzt7jcf.jpeg
12,2022 Audi A1 Sportback,30 TFSI S-Line運動版,146,汽油,5門 5人座 | 999cc | 110hp@5500rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a1-sportback-2022-30-tfsi-s-line%E9%81%8B%E5%8B%95%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/8fiSBcBSkeJzFVzt7jcf.jpeg
13,2022 Audi A3 Sportback,30 TFSI享馭版,141,油電混合,5門 5人座 | 999cc | 110hp@5500rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a3-sportback-2022-30-tfsi,https://autos.yahoo.com.tw/p/r/w880/car-models/October2021/CUzpNrHj8NslgB3gkz65.jpg
14,2022 Audi A3 Sportback,30 TFSI Advanced進化版,148,油電混合,5門 5人座 | 999cc | 110hp@5500rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a3-sportback-2022-30-tfsi-advanced,https://autos.yahoo.com.tw/p/r/w880/car-models/October2021/CUzpNrHj8NslgB3gkz65.jpg
15,2022 Audi A3 Sportback,35 TFSI享馭版,153,油電混合,5門 5人座 | 1498cc | 150hp@5000~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a3-sportback-2022-35-tfsi,https://autos.yahoo.com.tw/p/r/w880/car-models/October2021/CUzpNrHj8NslgB3gkz65.jpg
16,2022 Audi A3 Sportback,35 TFSI Advanced進化版,158,油電混合,5門 5人座 | 1498cc | 150hp@5000~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a3-sportback-2022-35-tfsi-advanced,https://autos.yahoo.com.tw/p/r/w880/car-models/October2021/CUzpNrHj8NslgB3gkz65.jpg
17,2022 Audi A3 Sportback,35 TFSI  S-Line運動版,173,油電混合,5門 5人座 | 1498cc | 150hp@5000~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a3-sportback-2022-35-tfsi--s-line,https://autos.yahoo.com.tw/p/r/w880/car-models/October2021/CUzpNrHj8NslgB3gkz65.jpg
18,2022 Audi A3 Sportback,40 TFSI  quattro S-Line運動版,196,汽油,5門 5人座 | 1984cc | 190hp@4200~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a3-sportback-2022-40-tfsi--quattro-s-line%E9%81%8B%E5%8B%95%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/October2021/CUzpNrHj8NslgB3gkz65.jpg
19,2022 Audi A3 Sportback,S3,263,汽油,5門 5人座 | 1984cc | 310hp@5450~6500rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a3-sportback-2022-s3,https://autos.yahoo.com.tw/p/r/w880/car-models/October2021/CUzpNrHj8NslgB3gkz65.jpg
20,2022 Audi A3 Sportback,RS3,327,汽油,5門 5人座 | 2480cc | 400hp@5600~7000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a3-sportback-2022-rs3,https://autos.yahoo.com.tw/p/r/w880/car-models/October2021/CUzpNrHj8NslgB3gkz65.jpg
21,2022 Audi A4 Avant,40 TFSI享馭版,222,油電混合,5門 5人座 | 1984cc | 204hp@4475~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a4-avant-2022-40-tfsi%E4%BA%AB%E9%A6%AD%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/37JnHYILIHoJebDvZOOn.jpeg
22,2022 Audi A4 Avant,40 TFSI Advanced進化版,230,油電混合,5門 5人座 | 1984cc | 204hp@4475~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a4-avant-2022-40-tfsi-advanced%E9%80%B2%E5%8C%96%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/37JnHYILIHoJebDvZOOn.jpeg
23,2022 Audi A4 Avant,40 TFSI S-Line運動版,236,油電混合,5門 5人座 | 1984cc | 204hp@4475~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a4-avant-2021-40-tfsi-s-line%E9%81%8B%E5%8B%95%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/37JnHYILIHoJebDvZOOn.jpeg
24,2022 Audi A4 Avant,45 TFSI quattro S-Line運動版,280,油電混合,5門 5人座 | 1984cc | 265hp@5250~6500rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a4-avant-2022-45-tfsi-quattro-s-line%E9%81%8B%E5%8B%95%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/37JnHYILIHoJebDvZOOn.jpeg
25,2022 Audi A4 Avant,RS4,506,汽油,5門 5人座 | 2894cc | 450hp@5700~6700rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a4-avant-2022-rs4,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/37JnHYILIHoJebDvZOOn.jpeg
26,2022 Audi A4 Sedan,40 TFSI享馭版,212,油電混合,4門 5人座 | 1984cc | 204hp@4475~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a4-sedan-2022-40-tfsi%E4%BA%AB%E9%A6%AD%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/szBtCUP1YTRP2pM8m9wZ.jpeg
27,2022 Audi A4 Sedan,40 TFSI Advanced進化版,220,油電混合,4門 5人座 | 1984cc | 204hp@4475~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a4-sedan-2022-40-tfsi-advanced%E9%80%B2%E5%8C%96%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/szBtCUP1YTRP2pM8m9wZ.jpeg
28,2022 Audi A4 Sedan,40 TFSI S-Line運動版,226,油電混合,4門 5人座 | 1984cc | 204hp@4475~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a4-sedan-2022-40-tfsi-s-line%E9%81%8B%E5%8B%95%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/szBtCUP1YTRP2pM8m9wZ.jpeg
29,2022 Audi A5 Coupe,RS5,518,汽油,2門 4人座 | 2894cc | 450hp@5700~6700rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a5-coupe-2022-rs5,https://autos.yahoo.com.tw/p/r/w880/car-models/October2021/YAMVTscmssRF1gBscuil.jpg
30,2022 Audi A5 Sportback,40 TFSI享馭版,233,油電混合,5門 5人座 | 1984cc | 204hp@4475~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a5-sportback-2022-40-tfsi%E4%BA%AB%E9%A6%AD%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/UB6UGQTNdK1sVnGUGDrC.jpeg
31,2022 Audi A5 Sportback,40 TFSI S-Line運動版,250,油電混合,5門 5人座 | 1984cc | 204hp@4475~6000rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a5-sportback-2022-40-tfsi-s-line%E9%81%8B%E5%8B%95%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/UB6UGQTNdK1sVnGUGDrC.jpeg
32,2022 Audi A5 Sportback,45 TFSI quattro S-Line運動版,297,油電混合,5門 5人座 | 1984cc | 265hp@5250~6500rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a5-sportback-2021-45-tfsi-quattro-s-line%E9%81%8B%E5%8B%95%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/UB6UGQTNdK1sVnGUGDrC.jpeg
33,2022 Audi A5 Sportback,RS5,518,汽油,5門 5人座 | 2894cc | 450hp@5700~6700rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a5-sportback-2022-rs5,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/UB6UGQTNdK1sVnGUGDrC.jpeg
34,2022 Audi A6 Avant,40 TFSI享馭版,271,油電混合,5門 5人座 | 1984cc | 204hp@5000~6500rpm,https://autos.yahoo.com.tw/new-cars/trim/audi-a6-avant-2022-40-tfsi%E4%BA%AB%E9%A6%AD%E7%89%88,https://autos.yahoo.com.tw/p/r/w880/car-models/November2021/0MAWIS4oA2DWmEDhgIl6.jpeg
